,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
390,20200721,3835,3885,3785,1932119,25,3838.0,3847.0,3953.5,52.83018867924527,3940.0806102257607,3847.0,3753.9193897742393
391,20200722,3810,3870,3805,1233944,-25,3825.0,3841.0,3947.6666666666665,49.07407407407408,3927.116200566444,3841.0,3754.883799433556
392,20200723,3765,3815,3750,1397156,-45,3810.0,3837.25,3940.25,29.670329670329664,3929.525403006435,3837.25,3744.974596993565
393,20200724,3665,3695,3650,1788842,-100,3777.0,3827.0,3931.1666666666665,26.732673267326728,3944.532974096634,3827.0,3709.467025903366
394,20200727,3560,3565,3400,2402522,-105,3727.0,3815.5,3921.0,22.689075630252105,3980.633279504768,3815.5,3650.366720495232
395,20200728,4295,4550,3515,75616105,735,3819.0,3838.25,3926.0833333333335,65.41353383458647,4104.825974161214,3838.25,3571.6740258387863
396,20200729,4300,4795,4235,57287089,5,3917.0,3863.0,3933.0833333333335,66.53992395437263,4196.217646591534,3863.0,3529.782353408467
397,20200730,4085,4445,4035,13719192,-215,3981.0,3876.25,3935.3333333333335,61.18881118881119,4222.398450812653,3876.25,3530.1015491873463
398,20200731,4080,4280,3945,10259186,-5,4064.0,3882.75,3937.4166666666665,60.142348754448406,4238.930782749435,3882.75,3526.569217250565
399,20200803,3970,4070,3945,4371485,-110,4146.0,3886.25,3939.5,55.333333333333336,4244.410229506292,3886.25,3528.089770493708
400,20200804,4090,4430,4075,10860472,120,4105.0,3896.5,3945.75,56.91318327974276,4265.5,3896.5,3527.5
401,20200805,4055,4230,4000,4432430,-35,4056.0,3905.0,3951.4166666666665,56.91318327974276,4280.326524508993,3905.0,3529.6734754910067
402,20200806,4090,4120,4020,2899382,35,4057.0,3916.25,3958.4166666666665,58.22784810126582,4299.510681521077,3916.25,3532.9893184789235
403,20200807,4295,4480,4150,16011018,205,4100.0,3942.75,3966.8333333333335,63.73937677053825,4352.865532502733,3942.75,3532.6344674972675
404,20200810,4310,4390,4235,5263490,15,4168.0,3968.5,3976.3333333333335,63.532763532763525,4402.263760588641,3968.5,3534.736239411359
405,20200811,4465,4670,4265,15868047,155,4243.0,4001.25,3985.25,67.37400530503979,4478.88872330455,4001.25,3523.6112766954507
406,20200812,4500,4645,4345,9853600,35,4332.0,4032.5,3995.25,69.6,4552.879669087869,4032.5,3512.120330912131
407,20200813,4345,4510,4310,4845909,-155,4383.0,4057.75,4002.9166666666665,67.61658031088082,4587.244806395682,4057.75,3528.2551936043187
408,20200814,4270,4345,4195,2587682,-75,4378.0,4079.75,4010.3333333333335,68.6842105263158,4606.119404505999,4079.75,3553.3805954940008
409,20200818,4015,4190,4010,3349500,-255,4319.0,4090.0,4013.5833333333335,40.140845070422536,4602.767003618603,4090.0,3577.232996381397
410,20200819,4075,4195,3950,1908376,60,4241.0,4102.0,4016.8333333333335,42.37288135593221,4601.393632318234,4102.0,3602.6063676817657
411,20200820,3950,4065,3950,1979372,-125,4131.0,4109.0,4016.9166666666665,45.12635379061372,4595.586066384972,4109.0,3622.413933615028
412,20200821,4095,4115,3975,1598005,145,4081.0,4125.5,4018.4166666666665,50.49180327868852,4585.987784854278,4125.5,3665.0122151457217
413,20200824,4115,4115,3970,1435712,20,4050.0,4148.0,4019.5833333333335,55.05226480836237,4557.4313129207385,4148.0,3738.568687079261
414,20200825,4115,4220,4110,1693076,0,4070.0,4175.75,4021.4166666666665,50.95057034220533,4484.9792838655485,4175.75,3866.520716134452
415,20200826,4405,4665,4220,18570721,290,4136.0,4181.25,4027.3333333333335,61.14649681528663,4502.448925901068,4181.25,3860.051074098932
416,20200827,4255,4590,4250,7211572,-150,4197.0,4179.0,4029.0833333333335,54.89614243323442,4497.458788542568,4179.0,3860.541211457432
417,20200828,4315,4350,4070,3526558,60,4241.0,4190.5,4032.5,50.64935064935065,4511.154019154602,4190.5,3869.8459808453977
418,20200831,4315,4345,4210,2393379,0,4281.0,4202.25,4032.5833333333335,50.1639344262295,4523.068874133053,4202.25,3881.431125866947
419,20200901,4300,4310,4200,2485105,-15,4318.0,4218.75,4032.3333333333335,44.04332129963899,4523.641374099038,4218.75,3913.858625900961
420,20200902,4465,4670,4300,9117271,165,4330.0,4237.5,4032.75,48.84488448844884,4554.304356030658,4237.5,3920.6956439693417
421,20200903,4400,4730,4320,17250356,-65,4359.0,4254.75,4033.5833333333335,51.92982456140351,4567.47152148517,4254.75,3942.0284785148297
422,20200904,4165,4230,4050,6699768,-235,4329.0,4258.5,4029.0833333333335,46.68769716088328,4564.965332460297,4258.5,3952.034667539704
423,20200907,3995,4065,3955,5788276,-170,4265.0,4243.5,4025.4166666666665,49.33333333333333,4570.059336109075,4243.5,3916.940663890925
424,20200908,3920,3970,3870,3746958,-75,4189.0,4224.0,4025.8333333333335,44.88448844884488,4577.7880721562,4224.0,3870.211927843801
