,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
1321,20240430,251000,253000,248000,545747,-500,250900.0,237950.0,241200.0,69.82758620689656,259735.0866420127,237950.0,216164.9133579873
1322,20240502,249000,251500,246500,602350,-2000,250200.0,239400.0,241883.33333333334,58.51063829787234,260043.64308933867,239400.0,218756.35691066133
1323,20240503,241000,250500,241000,727057,-8000,248400.0,240650.0,242116.66666666666,52.88461538461539,258282.64018801495,240650.0,223017.35981198505
1324,20240507,242000,246000,240000,799659,1000,246900.0,241450.0,242183.33333333334,50.505050505050505,257753.06719608308,241450.0,225146.93280391692
1325,20240508,242000,244000,240000,444082,0,245000.0,242275.0,242291.66666666666,50.0,256843.71648430295,242275.0,227706.28351569705
1326,20240509,237000,242500,235000,704379,-5000,242200.0,242500.0,242158.33333333334,53.84615384615385,256589.00280360537,242500.0,228410.99719639463
1327,20240510,241500,243000,237000,455541,4500,240700.0,243175.0,242016.66666666666,61.052631578947384,255617.96990272016,243175.0,230732.03009727984
1328,20240513,245000,247500,242000,550255,3500,241500.0,243375.0,241950.0,60.63829787234043,255800.27665687972,243375.0,230949.72334312028
1329,20240514,246500,247000,243000,670650,1500,242400.0,243800.0,241966.66666666666,51.948051948051955,256040.91499847948,243800.0,231559.08500152052
1330,20240516,247000,248500,245500,559548,500,243400.0,244075.0,242083.33333333334,46.3768115942029,256343.96491151556,244075.0,231806.03508848444
1331,20240517,244000,249500,244000,408947,-3000,244800.0,244175.0,241941.66666666666,37.68115942028986,256407.23201218812,244175.0,231942.76798781188
1332,20240520,250500,255000,244500,860566,6500,246600.0,245025.0,241908.33333333334,50.64935064935065,256511.84029661768,245025.0,233538.15970338232
1333,20240521,253000,254000,248000,576613,2500,248200.0,246125.0,242091.66666666666,54.32098765432099,256149.34536515977,246125.0,236100.65463484023
1334,20240522,277000,277500,251000,3336634,24000,254300.0,248225.0,242716.66666666666,70.39999999999999,263996.73104006023,248225.0,232453.26895993974
1335,20240523,271500,275000,267500,1886248,-5500,259200.0,249550.0,243183.33333333334,65.18518518518518,268204.4900761184,249550.0,230895.5099238816
1336,20240524,267500,274500,266000,1059149,-4000,263900.0,250450.0,243575.0,63.309352517985616,270678.4453184124,250450.0,230221.55468158762
1337,20240527,265500,271500,262000,1011436,-2000,266900.0,251100.0,244016.66666666666,69.29133858267717,272359.3508837876,251100.0,229840.64911621241
1338,20240528,265000,270000,263500,598743,-500,269300.0,251850.0,244458.33333333334,68.25396825396825,273943.2116271039,251850.0,229756.7883728961
1339,20240529,261000,265000,257000,965532,-4000,266100.0,252425.0,244675.0,64.17910447761194,274839.8946015813,252425.0,230010.10539841867
1340,20240530,257000,264000,255500,640526,-4000,263200.0,252700.0,244783.33333333334,65.15151515151516,275197.5554227565,252700.0,230202.4445772435
1341,20240531,253000,260000,253000,1014549,-4000,260300.0,252800.0,244741.66666666666,58.77862595419848,275284.216686378,252800.0,230315.78331362197
1342,20240603,265000,270000,257000,1186533,12000,260200.0,253600.0,245008.33333333334,63.51351351351352,276618.6880599221,253600.0,230581.3119400779
1343,20240604,259000,265500,258000,660409,-6000,259000.0,254500.0,245141.66666666666,57.96178343949043,276876.32677630533,254500.0,232123.67322369464
1344,20240605,264000,267500,256500,882084,5000,259600.0,255600.0,245375.0,60.24096385542169,277569.5243462393,255600.0,233630.47565376072
1345,20240607,265000,266500,261500,519878,1000,261200.0,256750.0,245575.0,62.962962962962955,278152.1027004358,256750.0,235347.89729956424
1346,20240610,267500,271500,261000,945927,2500,264100.0,258275.0,245975.0,61.038961038961034,278120.5914499921,258275.0,238429.40855000788
1347,20240611,271000,273500,267500,967240,3500,265300.0,259750.0,246466.66666666666,61.53846153846154,278756.57780874823,259750.0,240743.4221912518
1348,20240612,270000,273000,268000,567334,-1000,267500.0,261000.0,246825.0,43.63636363636363,279234.5825288105,261000.0,242765.41747118952
1349,20240613,269000,281000,269000,1862106,-1000,268500.0,262125.0,247116.66666666666,47.524752475247524,279393.1064393291,262125.0,244856.89356067087
1350,20240614,268000,274000,267000,778015,-1000,269100.0,263175.0,247525.0,50.526315789473685,279141.44919824065,263175.0,247208.55080175932
1351,20240617,278500,285000,275500,1945849,10500,271300.0,264900.0,248125.0,61.60714285714285,279612.57965144113,264900.0,250187.42034855887
1352,20240618,283000,290000,278500,1667920,4500,273700.0,266525.0,248883.33333333334,65.0,281689.0199155765,266525.0,251360.98008442353
1353,20240619,286500,292500,284000,1228960,3500,277000.0,268200.0,249641.66666666666,71.42857142857143,284384.5605439258,268200.0,252015.4394560742
1354,20240620,285500,288000,282500,629996,-1000,280300.0,268625.0,250200.0,75.22123893805309,286106.0611806034,268625.0,251143.93881939657
1355,20240621,280000,285000,279000,876560,-5500,282700.0,269050.0,250808.33333333334,73.27586206896551,287190.83790788066,269050.0,250909.16209211934
1356,20240624,281000,283000,275500,598019,1000,283200.0,269725.0,251500.0,67.02127659574468,288575.66311830963,269725.0,250874.33688169034
1357,20240625,288500,292500,280000,1023261,7500,284300.0,270875.0,252300.0,80.41237113402062,291295.27179055166,270875.0,250454.72820944834
1358,20240626,289500,293500,286500,694207,1000,284900.0,272100.0,253058.33333333334,78.65168539325843,293859.1360122593,272100.0,250340.86398774068
1359,20240627,298000,298500,286500,1157313,8500,287400.0,273950.0,254075.0,81.73076923076923,297809.79882563977,273950.0,250090.20117436023
1360,20240628,295000,299500,293000,761453,-3000,290400.0,275850.0,255108.33333333334,76.19047619047619,300057.64342103543,275850.0,251642.35657896457
1361,20240701,286000,296000,285500,864443,-9000,291400.0,277500.0,256083.33333333334,62.93103448275862,299665.288177689,277500.0,255334.711822311
1362,20240702,272500,283500,271000,1558999,-13500,288200.0,277875.0,256958.33333333334,51.77304964539008,299426.97206753946,277875.0,256323.02793246057
1363,20240703,276000,281500,272500,1072157,3500,285500.0,278725.0,257958.33333333334,54.79452054794521,298499.9209859357,278725.0,258950.0790140643
1364,20240704,277500,281000,274500,552767,1500,281400.0,279400.0,258816.66666666666,56.4625850340136,298005.3755672924,279400.0,260794.6244327076
1365,20240705,281000,282000,277000,586121,3500,278600.0,280200.0,259741.66666666666,51.8796992481203,297596.5513823861,280200.0,262803.4486176139
1366,20240708,283000,289500,281000,603805,2000,278000.0,280975.0,260583.33333333334,50.0,297392.9018147874,280975.0,264557.0981852126
1367,20240709,274500,285500,272500,1135540,-8500,278400.0,281150.0,261358.33333333334,41.30434782608695,297209.5765822141,281150.0,265090.4234177859
1368,20240710,274500,277500,272500,672155,0,278100.0,281375.0,261916.66666666666,41.911764705882355,296921.3018110418,281375.0,265828.6981889582
1369,20240711,278500,278500,274500,653458,4000,278300.0,281850.0,262591.6666666667,48.872180451127825,296403.6936892323,281850.0,267296.3063107677
1370,20240712,271500,278500,268000,666813,-7000,276400.0,282025.0,263091.6666666667,43.44827586206896,295980.19616486994,282025.0,268069.80383513006
1371,20240715,268500,273500,267500,541442,-3000,273500.0,281525.0,263533.3333333333,35.29411764705882,296619.6182462492,281525.0,266430.3817537508
1372,20240716,274500,276000,270000,552065,6000,273500.0,281100.0,264216.6666666667,39.726027397260275,296480.5071437843,281100.0,265719.4928562157
1373,20240717,268500,275500,268000,512968,-6000,272300.0,280200.0,264841.6666666667,29.078014184397162,296300.93165006296,280200.0,264099.06834993704
1374,20240718,260500,267500,256500,1083373,-8000,268700.0,278950.0,265266.6666666667,27.1523178807947,296977.47902508837,278950.0,260922.52097491166
1375,20240719,258500,259500,254000,737904,-2000,266100.0,277875.0,265491.6666666667,29.927007299270077,297969.46441187226,277875.0,257780.53558812776
