timestep,action,reward,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
83,0.5200272,0.495,58000,77421918,1179,167,TRUE,0.495,-24.5085409,-16.31008717,1.322612091,11.30954214,1,-16.31008717,-0.01,-10.36949311,-0.01,-13.19899876,-0.01,-11.79,-0.01,-12.7601898,-22.18910541,buy
84,0.78047955,0.495,57000,76241923,1302,123,TRUE,0.495,-11.37160926,-5.633374844,-1.524109749,10.76102262,1,-5.633374844,-0.01,-1.672978805,-0.01,-0.610586645,-0.01,15.624,0.912934429,-5.476842408,-9.628171868,buy
85,0.048532724,-0.01,58200,77804315,1303,1,TRUE,-0.01,-2.318308524,-7.183561644,2.049255762,-1.888032731,-0.01,-7.183561644,-0.01,-1.573000588,-0.01,-4.206341255,-0.01,-13.03,-0.01,-6.507768333,-11.50944034,buy
86,-0.48868468,-0.01,57200,76441583,667,636,TRUE,-0.01,-3.368984098,-52.07235367,-1.751486405,-46.28420401,-0.01,-52.07235367,-0.01,-47.28687513,-0.01,-49.65318811,-0.01,3.335,0.105260129,-36.96719574,-65.99411611,sell
87,0.8483257,0.495,57700,76770475,1229,562,TRUE,0.495,-50.52574984,-13.22004981,0.430252733,41.29541096,1,-13.22004981,-0.01,-6.784406249,-0.01,-9.230338877,-0.01,-12.29,-0.01,-10.65075238,-18.91666776,buy
88,0.52858394,0.495,56700,75541041,1283,54,TRUE,0.495,-11.63165266,-11.80373599,-1.601441179,5.384133517,1,-11.80373599,-0.01,-2.892844901,-0.01,-6.247519147,-0.01,-19.245,-0.01,-9.646703863,-17.30881192,buy
89,-0.02830401,-0.01,55200,73613283,1247,36,TRUE,-0.01,-8.625299458,-16.45255293,-2.55193465,-0.238159328,-0.01,-16.45255293,-0.01,-5.231430814,-0.01,-8.863458786,-0.01,-17.458,-0.01,-12.6225892,-22.50200971,sell
90,1.3915406,-0.05,53800,71867483,1247,0,FALSE,-0.05,-11.06564287,-18.47135741,-2.371582857,2.160387343,1,-18.47135741,-0.01,-5.105020776,-0.01,-8.905255524,-0.01,-16.211,-0.01,-13.88929523,-24.75175708,wrong
91,0.15552387,0.495,52500,70246279,1261,14,TRUE,0.495,-8.211200328,-16.92789539,-2.255824098,3.172671526,1,-16.92789539,-0.01,-4.221624765,-0.01,-5.038528802,-0.01,5.044,0.224633424,-12.74805712,-22.77851139,buy
92,0.4023862,0.494998596,52900,70750458,1291,30,TRUE,0.494998596,-3.063904638,-13.18306351,0.717730543,1.598955817,0.999997193,-13.18306351,-0.01,-2.291974403,-0.01,-1.464948821,-0.01,14.201,0.866903921,-10.27101972,-18.28510459,buy
