timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
39,-0.17347087,-2.5005386699028524e-06,20170417, 083650.csv,6620.0,6500.0,58.0,54879512.0,55263472.0,11.0,0.004994456334427349,0.29247186932849367,0.04725622589279814,-0.000796208711938408,-3.1697365412419742e-06,0.4475119582385516,0.2966823956442831,0.004198247622488941,1.762528154536369e-07,-2.1656413210831382,-2.6028068486005114,sell
40,-0.72131795,0.0003169476744643518,20170418, 083650.csv,6500.0,6180.0,17.0,55150487.0,55260987.0,41.0,-0.012594214131171491,0.2958747731397459,0.0033929802983477435,0.008902776816309965,0.00039621865985173255,2.2529567275185935,0.29217241379310344,-0.003691437314861526,-1.3626708517122665e-07,-2.174697972708308,-2.5816231299130443,sell
41,0.17966326,-0.786662044667742,20170419, 083650.csv,6180.0,5890.0,1541.0,45243081.0,54766461.0,1524.0,-0.00984419623196379,0.2896206896551724,-0.006235633817163145,-0.8923701393971843,-0.9813446503298231,6.18199637844807,-0.6053339382940109,-0.8923701393971843,-0.00793162201941744,-2.2095544087767007,-2.6324221605050133,buy
42,-0.44123414,0.38033858339113946,20170420, 083650.csv,5890.0,6010.0,862.0,49432412.0,54509592.0,679.0,-0.815992108746994,-0.6178366606170599,-0.9048367558197736,0.3594874450509374,0.4759436780219649,10.089866760832493,-1.0715208711433757,-0.45650466369605663,-0.002081795132162445,-3.2337230939586,-3.9045548958050422,sell
43,0.52074194,0.7948012528728458,20170421, 083650.csv,6010.0,5850.0,5231.0,23695348.0,55133658.0,4369.0,0.18976476653870386,-1.078152450090744,-0.4631774696851173,0.9618895724802852,0.990207688560677,9.412518180300182,0.06108529945553539,1.151654339018989,0.013175510121520628,-3.804193484793876,-4.653108121376033,buy
44,-0.24621305,0.39873397510647013,20170424, 083650.csv,5850.0,5940.0,3944.0,31417518.0,54489918.0,1287.0,-1.5180563567902567,0.03803629764065335,1.1283541253798806,0.373228648969939,0.5016726666805738,10.657479022098856,-1.1072268602540836,-1.1448277078203177,-0.01302079118994448,-2.489129011363053,-3.07154680935149,sell
45,0.15202291,0.07069969304907411,20170425, 083650.csv,5940.0,6200.0,4760.0,26643241.0,54917641.0,816.0,0.6514232596202475,-1.1084555353901995,-1.1460559157915942,0.13478699425354013,0.08683406608330668,10.076279746409243,-0.3309600725952813,0.7862102538737876,0.0061622009121438115,-3.845449816678822,-4.783186681682376,buy
46,-0.44716713,-0.7918915762503814,20170426, 083650.csv,6200.0,6200.0,2632.0,39262807.0,55581207.0,2128.0,2.2535563754459154,-0.36862613430127045,0.7481220008184736,-1.007001174601831,-0.9937191931549738,7.3590051298475565,0.8733339382940108,1.2465552008440843,0.015418891367988352,-2.981093727989913,-3.699316035722072,sell
47,-0.22143848,0.0,20170427, 083650.csv,6200.0,6210.0,2050.0,42865283.0,55575283.0,582.0,0.0,0.8625825771324863,1.2357640607198728,0,0,7.348253768686032,0.8625825771324863,0.0,0,-1.5473284161078606,-1.940753223635564,sell
48,-0.056184188,-1.4690495787306192e-05,20170428, 083650.csv,6210.0,6100.0,1935.0,43577113.0,55593463.0,115.0,0.036886901682533946,0.860459165154265,-0.0021052524374909616,-0.0020685322017650817,-2.13938984959805e-05,7.230418761445664,0.8955771324863884,0.034818369480768864,1.2123115047391053e-05,-1.5530292729139445,-1.9497125440607332,sell
