timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
137,-0.089351624,0.293,20200909,datas,298500.0,298500.0,-1.5739969372720541,73.70701176470588,3.137052733111799,-2.608163476720513,-0.01,66.44230588235294,1.0,-10.1849130525583,-0.01,-4.182160413992567,-0.01,0.0,0,21.37150818966795,36.07627872694827,sell
138,0.0345067,0.798,20200910,datas,298500.0,298500.0,-4.182160413992567,66.4421411764706,-4.1822552322043824,4.182160413992567,1.0,66.4421411764706,1.0,-10.185077758440642,-0.01,0.0,0,0.0,0,19.161062828200983,32.263509891687775,buy
139,0.03084118,0.293,20200911,datas,298500.0,296000.0,-0.5654676537658521,66.44197647058824,-9.89568394090241e-05,-0.005890853458381362,-0.01,65.49099607843138,1.0,-9.656932915651453,-0.01,-0.5713585072242334,-0.01,-2.4250000000000003,-0.01,19.224898486736677,32.356612950754,buy
140,0.10072179,0.293,20200914,datas,296000.0,296000.0,-0.5713585072242334,66.44131372549019,-0.0003981838668902905,-0.02356354443926878,-0.01,65.45111764705882,1.0,-9.69681134702401,-0.01,-0.5949220516635022,-0.01,0.0,0,19.296047131442247,32.464381823872145,buy
141,0.047514178,0.7147124122539336,20200915,datas,296000.0,297000.0,-0.35695323099810133,65.45095294117647,-0.595021008994868,0.5987167221653077,0.8334248245078671,65.85095294117647,1.0,-9.888692029237731,-0.01,0.24176349116720638,0.0005843250721861981,1.02,0.010350065598559222,19.067079109889445,32.15801321416093,buy
142,0.20559248,0.293,20200916,datas,297000.0,291500.0,-1.087935710252429,65.44963529411764,-0.0007963973826684446,-0.08533763491840296,-0.01,63.50845882352941,1.0,-8.976748277062313,-0.01,-1.173273345170832,-0.01,-6.050000000000001,-0.01,19.1380912187725,32.26812866348912,buy
143,0.23963982,0.293,20200917,datas,291500.0,291500.0,-1.173273345170832,65.87985098039215,0.26002818652922444,-0.34802619594281414,-0.01,63.35632156862745,1.0,-9.128885531964272,-0.01,-1.521299541113646,-0.01,0.0,0,19.32702608775349,32.47355605470424,buy
144,-0.07841726,0.7979998805711728,20200918,datas,291500.0,278500.0,-5.117098456473173,63.339431372549015,-1.5314817277858706,1.7462759265580239,0.9999997611423475,57.833549019607844,0.999999999999997,-6.959350388676171,-0.01,-3.3708225299151495,-0.01,-14.040000000000001,-0.01,18.608461674447085,31.410126458053266,sell
145,-0.032774612,0.3645804135931637,20200921,datas,278500.0,268000.0,-6.093409957923539,63.33380392156863,-0.003445249523097037,0.16905727898767964,0.13316082718651545,53.657333333333334,0.9999999999996866,-4.922548323471396,-0.01,-5.924352678935859,-0.01,-11.025,-0.01,18.672934143835942,31.510134790860235,sell
146,0.2798194,0.7979999999996208,20200922,datas,268000.0,266000.0,-6.4285529069304,57.9793137254902,-3.2782498585838407,2.860202868547365,1.0,52.34205882352941,0.9999999999987362,-5.054390880612601,-0.01,-3.568350038383035,-0.01,-2.3000000000000003,-0.01,17.049844894043243,28.81875378204722,buy
