timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
71,-0.7799061,2.5348756021267156,20190215, 083650.csv,3775.0,3770.0,462.0,32042670.0,33786720.0,1633.0,-0.6789232868831373,22.048772563176897,-0.4004955064676392,0.6105952733737129,0.8449694274619487,21.96537906137184,-0.06832801350942438,-4.6686084472225e-05,12.20702882350864,18.322509706936156,sell
72,0.13687079,-0.5059684426329035,20190218, 083650.csv,3770.0,3735.0,1623.0,27659273.0,33777983.0,1161.0,-0.11615762296602146,21.971472924187726,-0.06333504005470975,-0.1921500375687065,-0.168570012960241,21.737104693140793,-0.1921500375687065,-0.0003691482174007499,12.21891689095437,18.287985853874382,buy
73,-0.99603045,2.5661963759938207,20190219, 083650.csv,3735.0,3645.0,7.0,33741590.0,33767735.0,1616.0,-0.6244876220982962,21.90606498194946,-0.0536256066030472,0.621896409949983,0.8553988076648273,21.902906137184118,-0.002591212148313284,-6.714380174077661e-08,12.25908404463157,18.30152016969416,sell
74,-0.23592784,1.7018737141072383e-05,20190220, 083650.csv,3645.0,3620.0,6.0,33745320.0,33767190.0,1.0,-0.0031094545779759403,21.905162454873647,-0.0007403463280895097,0.0010660835844267737,5.682654898531148e-06,21.902671480144402,-0.0020433709935491666,-4.1753649315801056e-08,12.341078518588398,18.36295174115393,sell
75,0.0690384,0.11085440860300033,20190221, 083650.csv,3620.0,3690.0,645.0,31415835.0,33750735.0,639.0,-0.0007995799539974999,21.90202166064982,-0.002576424296214167,0.08675663962729849,0.036934230066969054,22.006805054151624,0.08595705967330099,7.38834315616721e-05,12.407432852594448,18.411165205748194,buy
76,0.04984051,-0.23481371822133856,20190222, 083650.csv,3690.0,3580.0,1077.0,29851773.0,33825903.0,432.0,-0.1241601973058792,21.843007220216606,-0.0484113713860276,-0.12764250427837942,-0.07823322641642116,21.687483754512634,-0.12764250427837942,-0.00016291281725011597,12.449734486824992,18.450187130034607,buy
77,0.09261082,-2.6953084238517775,20190225, 083650.csv,3580.0,3565.0,1826.0,27087571.0,33624651.0,749.0,-0.1755084433827717,22.113758122743683,0.22221291865993265,-0.6747865538528006,-0.8973761037354989,21.28975090252708,-0.6747865538528006,-0.004543018064686821,12.698758025325928,18.698314292988893,buy
78,-0.38242927,-2.9182835602002517,20190226, 083650.csv,3565.0,4630.0,1128.0,29582309.0,33603629.0,698.0,5.074394884973061,21.37382310469314,-0.6059391090943165,-1.5515493776019587,-0.9999940761699816,25.64963537906137,3.5228455073711022,0.11671238329956168,12.291460102178403,18.24279485668934,sell
79,1.239414,-1.0,20190227, 083650.csv,4630.0,3910.0,1128.0,29582309.0,34804949.0,0,1.1071800166023464,21.312740072202168,-0.05032636439101574,1.1580892051867373,0.9987762716255894,22.717649819494586,1.1580892051867373,0.013322169866545885,12.338549987908394,18.29459543793675,wrong
80,0.1605398,-3.2171018934200935,20190228, 083650.csv,3910.0,3645.0,2153.0,24835886.0,33254116.0,1025.0,0.2685424243911275,25.647205776173287,3.5729682648263967,-6.093231188029884,-1.0,17.991231046931407,-6.093231188029884,-0.31014556202870514,14.794018869984704,22.39547360614447,buy
