timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
181,1.26577,-65.18,003240.csv,20210427,1096000.0,1055000.0,16705270.0,265270.0,0,15.0,False,55.37555228276878,-3.6814729723015556,28.502076923076924,-4.049334099930673,0,0,0,-31.60424459046109,23.77130769230769,-3.6814729723015556,-1.0,-61.5,16.417739518651555,27.38998341252599,wrong
182,0.32917082,36.64,003240.csv,20210428,1055000.0,1078000.0,16090270.0,265270.0,0,15.0,False,58.76288659793815,2.1441529570355256,23.77130769230769,-3.6814729723015556,0,0,0,-32.3377327517843,26.425153846153847,2.1441529570355256,0.9999999998960343,34.5,13.30493217886622,21.65127587191902,wrong
183,-0.29827958,-40.84,003240.csv,20210429,1078000.0,1043000.0,16428190.0,4570190.0,4.0,11.0,True,53.608247422680414,-3.1943497125389486,26.370692307692305,2.1001512093954915,0,0.8508170409543125,0.9992818961573896,-30.19909357652657,23.409153846153846,-2.343532671584636,-0.9999999999988144,-38.5,14.871367953381613,24.230130567719247,sell
184,0.2873237,6.24,003240.csv,20210430,1043000.0,1044000.0,16043042.0,3527042.0,1.0,12.0,True,53.75552282768778,0.0685649175756193,23.408015384615386,-2.34443356206618,4.966537513208876,0.07479878192676925,0.05441224113543108,-30.2551997507647,23.500323076923078,0.07479878192676925,0.02758663169176412,1.2,12.992064979555778,21.13349963377018,buy
185,0.60116947,20.0,003240.csv,20210503,1044000.0,1055000.0,16054894.0,2482894.0,1.0,13.0,True,55.37555228276878,0.8221716268322438,23.499184615384618,0.0738762636163391,4.8142659081130175,0.8906941397433081,0.999641420622112,-30.776367667384164,24.599184615384615,0.8906941397433081,0.9810638077246769,14.3,13.085354709776057,21.22801361166241,buy
186,0.53864026,87.39,003240.csv,20210504,1055000.0,1110000.0,16197745.0,1427745.0,1.0,14.0,True,63.47569955817378,4.414154086944883,24.59803846153846,0.8897660738214778,5.634443837611508,4.753748129755098,1.0,-32.9545841735584,30.52111538461538,4.753748129755098,1.0,77.0,13.783258326088824,22.31334301298201,buy
187,-0.013349116,-29.65,003240.csv,20210506,1110000.0,1090000.0,16967745.0,1427745.0,0.0,14.0,True,60.53019145802651,-1.6501898160303563,30.52111538461538,4.753748129755098,0,0,0,-32.162922227257276,28.36726923076923,-1.6501898160303563,-0.9999987787457392,-28.0,17.11822996408532,28.223445975844946,wait
188,0.027274191,95.2,003240.csv,20210507,1090000.0,1148000.0,16687745.0,1427745.0,0.0,14.0,True,69.0721649484536,4.865846164355939,28.36726923076923,-1.6501898160303563,9.138904059712363,0,0,-34.45874187153053,34.61342307692308,4.865846164355939,1.0,81.2,15.800832436449687,26.134370841213958,wait
189,-0.7774323,11.42,003240.csv,20210510,1148000.0,1175000.0,17480895.0,12888895.0,10.0,4.0,True,73.04860088365243,2.1600314747443465,34.468423076923074,4.752889021254819,0,-1.5422141375885543,-0.9999999999531581,-37.74940857596012,35.29919230769231,0.6178173371557921,0.8516960374619873,10.8,19.13537137386292,32.19902204928895,sell
190,1.1254843,-3.3,003240.csv,20210511,1175000.0,1165000.0,17587227.0,1137227.0,10.0,14.0,True,71.5758468335788,-0.22741621915418792,35.286361538461534,0.6082754916152748,11.499911037305024,-0.7960322568191107,-0.998229819108384,-37.36640837204033,34.20943846153846,-0.7960322568191107,-0.9579264823004313,-14.0,19.664558164988012,33.008556315155396,buy
191,0.22532618,51.81,003240.csv,20210512,1165000.0,1200000.0,17447227.0,1137227.0,0,14.0,False,76.73048600883654,2.808469219779166,34.20943846153846,-0.7960322568191107,0,0,0,-38.75181677806731,37.97866923076923,2.808469219779166,1.0,49.0,19.067362540179843,32.11377164938163,wrong
192,0.7273452,11.82,003240.csv,20210513,1200000.0,1208000.0,17937227.0,1137227.0,0,14.0,False,77.90868924889544,0.6243997469620025,37.97866923076923,2.808469219779166,0,0,0,-39.06848155658775,38.84020769230769,0.6243997469620025,0.8576370106493336,11.200000000000001,21.209375471468245,35.855420094925684,wrong
193,0.6873809,-1.48,003240.csv,20210514,1208000.0,1207000.0,18049227.0,1137227.0,0,14.0,False,77.76141384388808,-0.07756564865631088,38.84020769230769,0.6243997469620025,0,0,0,-39.028898459272696,38.73251538461538,-0.07756564865631088,-0.029634184556955767,-1.4000000000000001,21.77060498941607,36.71574438923417,wrong
194,0.09037444,-13.3,003240.csv,20210517,1207000.0,1198000.0,18035227.0,1137227.0,0,14.0,False,76.4359351988218,-0.698632736920916,38.73251538461538,-0.07756564865631088,0,0,0,-38.672650583437175,37.76328461538462,-0.698632736920916,-0.9128773606710004,-12.600000000000001,21.78562031525896,36.69532489908811,wrong
195,0.3303504,-50.26,003240.csv,20210518,1198000.0,1164000.0,17909227.0,1137227.0,0,14.0,False,71.42857142857143,-2.657847823359434,37.76328461538462,-0.698632736920916,0,0,0,-37.32682527472528,34.10174615384615,-2.657847823359434,-0.9999999999999996,-47.6,21.24778509920778,35.895815522164426,wrong
