timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
171,-0.021059446,0.05730519868906063,29215937.0,12.0,-99.95214229212189,-160.13010031997396,-0.030296270419674247
172,-0.15330905,0.07816279407226127,29210348.0,85.0,-100.32977743395244,-160.35846650269335,-0.00019129970057095894
173,0.1154623,0.10493143354025015,29635886.0,28.0,-99.9587250380764,-159.73754900873968,0.014568056498334083
174,0.06440984,0.06978043040372113,29235007.0,14.0,-100.13258867330444,-160.67837529494676,-0.013526810030245088
175,0.16243106,0.10823861368056632,29698315.0,33.0,-100.69373718366636,-161.63911478466196,0.015847712983273785
176,-0.07364586,0.16002529416864597,30709298.0,40.0,-95.70543456875066,-155.67382856259368,0.034041762975441536
177,0.003581982,0.1393162473285528,30760098.0,0.0,-98.44373723321164,-159.67750253026875,0.00165422211865605
178,0.029011339,0.12100557014609788,30480662.0,6.0,-103.00730592074095,-167.83547390634982,-0.009084366376205954
179,-0.14025342,0.08116158014814163,29730515.0,72.0,-102.41775207151495,-165.60852069165927,-0.02461058752595334
180,0.13585836,0.12585509109967802,30172295.0,37.0,-104.10588917342317,-168.3107175558032,0.014859480234365265
181,-0.1687208,0.0855055284762996,29687910.0,80.0,-102.82822777035652,-166.72967217019405,-0.016053966063900676
182,0.04810276,0.10046087595187932,29747673.0,15.0,-101.83425055390676,-164.66704936441522,0.0020130416725192175
183,0.20188919,0.10031591337411407,29768011.0,62.0,-103.14000430520232,-166.32597540462842,0.0006836837288079642
184,0.0039348044,0.10871118163951878,29910811.0,0.0,-103.90468688794044,-167.1328548713899,0.004797095781777291
185,-0.21298283,0.10492632744358373,29903929.0,101.0,-103.83657679413915,-166.62641807612312,-0.0002300840321581384
186,0.15891431,0.062030819947143226,29209859.0,57.0,-103.13286104507291,-164.75632644414887,-0.02320999357642937
187,0.05581806,0.11477513617149966,29792966.0,16.0,-111.83329970679345,-179.0510467958464,0.01996267766989221
188,-0.106614694,0.06860499865913823,29274692.0,47.0,-121.81349501675038,-195.44355639364872,-0.017395851087803744
189,0.0029946528,0.07702011814123057,29214537.0,1.0,-131.23608130109446,-210.48738807359246,-0.002054846554833096
190,-0.12829807,0.07825047059912439,29211213.0,51.0,-130.2772524567092,-208.42792052958583,-0.00011377897243416865
191,0.08294679,0.10358368278356246,29614689.0,30.0,-132.06062073570575,-211.18670281634255,0.013812367189270777
192,0.25599146,0.1187921071536064,30014234.0,85.0,-131.03229284241942,-209.4221938167351,0.013491446761436529
193,-0.04722741,0.11214093564855838,30059317.0,22.0,-134.5912220433509,-214.5551504715961,0.001502053992115874
194,0.011083933,0.076726231721634,29504300.0,3.0,-135.07536488924302,-215.58383503625572,-0.018464058913913447
195,0.06804196,0.14399374076526184,30375847.0,17.0,-131.56781424374574,-211.69885178139506,0.029539660320699018
196,-0.08606917,0.13316142107536794,30535491.0,39.0,-132.46801504253355,-212.64648488184358,0.005255622995467418
197,-0.1256117,0.11879050355713107,30361781.0,53.0,-136.3758788996425,-219.50272115019115,-0.005688790136042024
198,0.02395995,0.12162241238634554,30343133.0,8.0,-136.91600540923514,-219.9728435627162,-0.0006141932187706643
199,0.029383045,0.1220490160511888,30343079.0,9.0,-134.99487637275294,-216.35804467337837,-1.779644837598016e-06
200,0.1860089,0.11722803131921679,30264918.0,60.0,-134.67136838407785,-215.91306777617908,-0.002575908661082153
201,0.46111584,0.13285017839974395,30488687.0,120.0,-134.4579692829674,-215.139022292948,0.007393676070756246
202,-0.017529022,0.1731895747383459,31227735.0,9.0,-135.789304214122,-218.21948879203177,0.024240073047422477
203,0.26069096,0.1630440696857025,31339502.0,37.0,-139.85949766316224,-224.22109928534513,0.0035790940329165724
204,-0.12284145,0.16021432166784322,31334181.0,73.0,-135.22964664433889,-216.35600225116445,-0.0001697857228235471
205,0.14135191,0.18588054475684995,31753221.0,25.0,-134.946712654348,-215.7715421788568,0.013373255232041968
206,0.15988594,0.17817535855468825,31780517.0,24.0,-134.8927467023746,-215.16516107955607,0.0008596293270531516
207,0.20049752,0.21231765825188714,32353353.0,25.0,-130.29762465484413,-208.06127888020958,0.018024753971120105
208,-0.28714687,0.17190271486675324,31892079.0,171.0,-134.8656398574935,-216.09121638785203,-0.014257378516532738
209,0.14879856,0.17669415281440354,31806422.0,40.0,-140.05850626152855,-224.52769025792202,-0.002685839327062999
210,0.3124863,0.1686352963588315,31642507.0,73.0,-135.81973788363098,-218.23761599860413,-0.005153518996886855
211,-0.07118953,0.20159291092312798,32125647.0,38.0,-129.0575314614841,-207.38041461557813,0.01526870168662679
212,-0.23164114,0.18279789155401893,31991462.0,116.0,-134.5281878496361,-216.53551877053513,-0.0041768808578392215
213,0.04309955,0.20440126481662207,32300177.0,13.0,-131.60946813960624,-211.5170581120114,0.009649918468871475
214,0.109015,0.16755981318551033,31801216.0,33.0,-133.08560116085462,-214.46066646212222,-0.015447624327259879
215,-0.21381885,0.17795965733081975,31794397.0,92.0,-133.0413399280697,-213.97490294256204,-0.00021442576283875434
216,0.21196343,0.17498712254609844,31742905.0,77.0,-129.56679117309463,-208.29609529233198,-0.001619530636168379
217,-0.08654791,0.18860915467334405,31948716.0,36.0,-128.57416027590423,-206.28981264906457,0.006483685094354156
218,0.35728717,0.20247761329153563,32252780.0,112.0,-128.68739048172577,-206.1646715933958,0.009517252586927124
219,-0.033711575,0.17641045959497514,31931132.0,16.0,-129.79265383783155,-208.71888544248066,-0.009972721731274017
220,-0.14995949,0.18306918470212974,31925811.0,71.0,-130.3235052539635,-209.1799388938441,-0.00016663987985142525
221,0.1527541,0.1757930454741533,31803722.0,45.0,-128.49631051670008,-206.53393969753935,-0.003824147176715417
222,-0.17015976,0.16035615532908853,31504995.0,76.0,-128.80569713337997,-207.7724427097052,-0.009392831442810372
223,0.07526032,0.19202033519148953,31917339.0,24.0,-126.12936302738737,-203.3442746913141,0.013088210298081304
224,0.17687115,0.21787428363498257,32495554.0,50.0,-124.57141299383133,-201.0737771709725,0.018116015248013
225,0.10079474,0.18492198640518576,32158646.0,24.0,-128.32774111960887,-207.88895176647202,-0.01036781831754584
226,0.08557406,0.20502700997203155,32371376.0,18.0,-125.4881552825274,-202.90557461638244,0.006615017311363171
227,0.08277449,0.23145215397602908,32886817.0,16.0,-124.7617511982619,-201.8003478543514,0.01592273989218129
228,0.22213775,0.2673718758741717,33672400.0,38.0,-125.86928724333578,-204.37914789832476,0.02388747442478243
229,0.20439565,0.25711560607678946,33781210.0,27.0,-123.69718685579132,-200.42080732626744,0.0032314298951069717
230,-0.025584742,0.31758553018924823,34838225.0,14.0,-120.94024237166289,-197.58981458768466,0.03129002779947788
231,-0.01649154,0.2628731765622548,34279478.0,9.0,-118.07857249003715,-193.30296511666725,-0.016038331459194605
232,0.18847674,0.2643648722284874,34114607.0,24.0,-121.02246106390218,-198.50995200376926,-0.004809612328402433
233,0.10613595,0.23383657247287098,33541530.0,11.0,-124.31878520825742,-204.22114011949972,-0.016798581323243734
234,0.32937664,0.2455826687107882,33541313.0,31.0,-123.31980495605777,-202.1577572973262,-6.469591577963199e-06
235,0.15232195,0.2291178814117248,33264501.0,9.0,-125.8825287819726,-207.02769790088558,-0.008252867143274922
236,0.07826927,0.2628188073885847,33732473.0,4.0,-127.84632827146403,-210.19237368282674,0.014068210432496793
237,0.06893679,0.2361896138811232,33449853.0,3.0,-125.89459539357559,-207.65551019285598,-0.008378276920283905
238,0.05331777,0.3040576565240987,34490989.0,2.0,-121.31589036964313,-201.6855174358858,0.03112527878672591
239,0.10780536,0.31210623462756154,34997360.0,4.0,-118.0388979694226,-196.2000613445689,0.014681254863407947
240,-0.17141867,0.30502153999897047,35051808.0,109.0,-120.40353354112035,-199.71495605189375,0.0015557744927045926
